Influencer Name,Platform,Campaign Name,Followers,Likes,Comments,Shares,Reach,Impressions,Engagement Rate
Prajakta Koli,YouTube,Summer Beauty Launch,7100000,125000,6400,3100,1800000,2400000,1.89
Komal Pandey,Instagram,Summer Beauty Launch,1900000,88000,5200,2700,920000,1300000,5.05
Ankush Bahuguna,Instagram,Summer Beauty Launch,1100000,64000,4100,2100,760000,980000,6.38
Masoom Minawala,Instagram,Monsoon Fashion Edit,1300000,47000,2600,1400,610000,840000,3.92
Daniel Lee,YouTube,Tech Upgrade Week,980000,53000,3100,1800,690000,910000,5.91
Sara Johnson,Instagram,Fit India Challenge,890000,59000,2800,1600,720000,950000,7.12
Rhea Kohli,LinkedIn,Creator Career Sprint,210000,12000,900,520,140000,210000,6.39
Mumbiker Nikhil,YouTube,Travel Smart Campaign,4000000,72000,3600,1900,980000,1400000,1.94
Kusha Kapila,Instagram,Comedy Reels Burst,3400000,145000,8200,4600,2100000,2800000,4.64
Sejal Kumar,YouTube,Lifestyle Discovery,1500000,39000,2400,1200,540000,730000,2.84
